,County,People 1 Mile and More,People 1/2 Mile and More,People 10 Miles and More,People 20 Miles and More,Population,State,Civilian labour force,Employed poulation,Rate of Unemployment,Unemployed population
0,Abbeville,9451.794654000001,10638.20832,2422.056046,0.0,25417,SC,10349.0,9637.0,7.0,712.0
1,Acadia,11284.81213,17453.87802,233.7670294,0.0,61773,LA,25858.0,24088.0,7.0,1770.0
2,Accomack,10809.97223,11984.53711,252.378241,0.0,33164,VA,15877.0,15012.0,5.0,865.0
3,Ada,28009.707110000003,76201.38101,48.99173978,0.532825746,392365,ID,217052.0,209058.0,4.0,7994.0
4,Adair,1358.349543,1541.07575,157.9810003,0.0,7682,IA,4226.0,4089.0,3.0,137.0
5,Adair,7112.8246,8161.16748,551.0133848999999,0.0,18656,KY,6946.0,6429.0,7.0,517.0
6,Adair,5490.2108880000005,9071.183748000001,422.7315333000001,0.0,25607,MO,10446.0,9858.0,6.0,588.0
7,Adair,9564.539217,11044.654690000001,531.1358378000001,0.0,22683,OK,8165.0,7669.0,6.0,496.0
8,Adams,27188.67653,92400.38141,159.95362869999997,6.797278039,441603,CO,247717.0,236940.0,4.0,10777.0
9,Adams,714.9917522000001,1008.8390390000001,71.27473093,0.0,4029,IA,2292.0,2227.0,3.0,65.0
10,Adams,962.289276,1037.9161589999999,163.7263572,15.64253475,3976,ID,1715.0,1583.0,8.0,132.0
11,Adams,6741.466969,13915.32439,875.151678,0.0,67103,IL,32515.0,30895.0,5.0,1620.0
12,Adams,9071.067385,12052.88601,2.9136595130000003,0.0,34387,IN,16900.0,16254.0,4.0,646.0
13,Adams,11784.80643,15750.42266,317.92887410000003,0.419748515,32297,MS,11414.0,10503.0,8.0,911.0
14,Adams,498.3589971,625.3789013999999,254.40387709999996,7.469743002,2343,ND,1109.0,1077.0,3.0,32.0
15,Adams,4054.091625,7580.807572,297.37114239999994,0.0,31364,NE,16611.0,16091.0,3.0,520.0
16,Adams,9628.227157,11311.30075,479.355533,0.0,28550,OH,10681.0,9842.0,8.0,839.0
17,Adams,15604.99477,19724.083919999997,0.0,0.0,101407,PA,54988.0,52677.0,4.0,2311.0
18,Adams,5143.864867,7323.655247,701.9543808999999,121.32756509999999,18728,WA,8618.0,8018.0,7.0,600.0
19,Adams,6405.854768,7207.217933,1249.543977,0.0,20875,WI,8335.0,7730.0,7.0,605.0
20,Addison,6258.88867,8403.893604,9.336153158,0.0,36821,VT,20682.0,19964.0,4.0,718.0
21,Aiken,33843.36756,48193.81292,893.4793619999999,0.0,160099,SC,73925.0,69577.0,6.0,4348.0
22,Aitkin,5008.851718999999,5770.868614999999,1944.2919940000002,63.63166869,16202,MN,6871.0,6423.0,7.0,448.0
23,Alachua,34761.3219,76529.32897999999,82.20979709999999,0.0,247336,FL,129509.0,123529.0,5.0,5980.0
24,Alamance,32736.36652,48403.18819,920.2162992999998,0.0,151131,NC,77289.0,73147.0,5.0,4142.0
25,Alameda,27326.01862,160532.2577,7.479724854,0.0,1510271,CA,823130.0,784217.0,5.0,38913.0
26,Alamosa,2224.688841,3917.336496,316.6867557,17.57329526,15445,CO,7649.0,7254.0,5.0,395.0
27,Albany,19820.82709,50369.63185,153.74643989999998,0.0,304204,NY,159383.0,152461.0,4.0,6922.0
28,Albany,5591.793137,12211.15865,359.6098061,243.1887759,36299,WY,20681.0,20027.0,3.0,654.0
29,Albemarle,9819.657623000001,16078.519369999998,69.54222849,0.0,98970,VA,53914.0,51809.0,4.0,2105.0
30,Alcona,4034.146554,4155.143457,508.01128969999996,0.0,10942,MI,3799.0,3494.0,8.0,305.0
31,Alcorn,11926.95186,14665.70452,392.1363515,0.0,37057,MS,15724.0,14837.0,6.0,887.0
32,Alexander,2622.2333289999997,3199.86687,1408.553069,0.0,8238,IL,2291.0,2081.0,9.0,210.0
33,Alexander,11471.9224,12844.0135,21.00158226,0.0,37198,NC,17539.0,16675.0,5.0,864.0
34,Alexandria,0.0,4403.8639299999995,0.0,0.0,139966,VA,94154.0,91055.0,3.0,3099.0
35,Alfalfa,1356.979924,1632.501143,1045.5738119999999,0.0,5642,OK,3164.0,3070.0,3.0,94.0
36,Alger,2848.68311,3038.7362559999997,1208.939369,350.508451,9601,MI,3223.0,2949.0,9.0,274.0
37,Allamakee,3100.30508,4014.4397270000004,347.3983913,0.0,14330,IA,7703.0,7325.0,5.0,378.0
38,Allegan,22211.446190000002,29150.6381,75.8044155,0.0,111408,MI,60372.0,57870.0,4.0,2502.0
39,Allegany,18380.01683,23769.463030000003,387.8052013,0.0,75087,MD,32391.0,30133.0,7.0,2258.0
40,Allegany,14527.75836,16196.2657,52.8832945,0.0,48946,NY,20458.0,19129.0,7.0,1329.0
41,Alleghany,4485.066137,5081.642081,152.0132399,0.0,11155,NC,4466.0,4192.0,6.0,274.0
42,Alleghany,3137.299083,4030.635962,193.488026,0.0,16250,VA,7048.0,6691.0,5.0,357.0
43,Allegheny,87109.82527,244314.0416,0.0,0.0,1223348,PA,647492.0,615407.0,5.0,32085.0
44,Allen,46989.33204,85331.03338,344.7571838,0.0,355329,IN,178025.0,169826.0,5.0,8199.0
45,Allen,3042.678554,3929.9252149999998,540.2754415,0.0,13371,KS,6606.0,6268.0,5.0,338.0
46,Allen,6638.960647,7695.088619,103.0028813,0.0,19956,KY,8589.0,8168.0,5.0,421.0
47,Allen,9130.071699,11072.80924,2931.9972199999997,0.0,25764,LA,8839.0,8224.0,7.0,615.0
48,Allen,12785.78482,26723.56958,0.0,0.0,106331,OH,47839.0,45520.0,5.0,2319.0
49,Allendale,1869.1351079999997,3643.475535,92.56977887,0.0,10419,SC,2748.0,2438.0,11.0,310.0
50,Alpena,5257.223984,9647.57429,518.0442421,0.0,29598,MI,13593.0,12746.0,6.0,847.0
51,Alpine,312.8881981,312.8881981,152.611752,24.66738227,1175,CA,546.0,506.0,7.0,40.0
52,Amador,5814.115884000001,7655.970740000001,16.20583952,0.0,38091,CA,14343.0,13396.0,7.0,947.0
53,Amelia,3582.7825450000005,3660.3603420000004,416.9077143,0.0,12690,VA,6191.0,5914.0,5.0,277.0
54,Amherst,8329.783399,9836.068187,94.12536455,0.0,32353,VA,15279.0,14549.0,5.0,730.0
55,Amite,7106.896739,7387.424198999999,1428.189764,0.0,13131,MS,4515.0,4173.0,8.0,342.0
56,Anchorage,14896.12042,41010.73085,14.89539112,0.559630698,291826,AK,157011.0,149082.0,5.0,7929.0
57,Anderson,1791.964989,2879.718524,576.0024164,0.0,8102,KS,4135.0,3935.0,5.0,200.0
58,Anderson,3665.9120310000003,4590.128381,0.0,0.0,21421,KY,11200.0,10733.0,4.0,467.0
59,Anderson,45355.28878,60200.550579999996,2228.565486,0.0,187126,SC,88475.0,83700.0,5.0,4775.0
60,Anderson,13949.28139,21611.50752,12.13152652,0.0,75129,TN,33228.0,31292.0,6.0,1936.0
61,Anderson,14417.669219999998,18479.72511,1943.782011,0.0,58458,TX,22826.0,21930.0,4.0,896.0
62,Andrew,2800.0452170000003,3538.912683,221.8410892,0.0,17291,MO,9925.0,9512.0,4.0,413.0
63,Andrews,2840.42798,4541.316668,36.29597494,1.115761783,14786,TX,9293.0,8970.0,4.0,323.0
64,Androscoggin,14167.66133,27396.96575,0.0,0.0,107702,ME,54804.0,52518.0,4.0,2286.0
65,Angelina,24256.43835,31804.2713,2016.176904,70.09123464,86771,TX,37364.0,35278.0,6.0,2086.0
66,Anoka,29638.457039999998,49907.50384,0.0,0.0,330844,MN,189854.0,183013.0,4.0,6841.0
67,Anson,9793.457051000001,11740.02105,23.00106565,0.0,26948,NC,10829.0,10122.0,7.0,707.0
68,Antelope,2001.8536100000001,2254.8709129999997,1052.688948,0.0,6685,NE,3595.0,3503.0,3.0,92.0
69,Antrim,6265.8095490000005,7871.042893000001,32.25958462,0.0,23580,MI,9972.0,9227.0,8.0,745.0
70,Apache,39056.44592,42153.08356,28795.757960000003,19603.647259999998,71518,AZ,20518.0,17796.0,13.0,2722.0
71,Appanoose,3266.778938,4132.7399780000005,718.4156554,0.0,12887,IA,6228.0,5920.0,5.0,308.0
72,Appling,5847.372039,6748.150170999999,709.9637421,0.0,18236,GA,8673.0,8040.0,7.0,633.0
73,Appomattox,3867.730978,4413.9898060000005,112.51129340000001,0.0,14973,VA,7038.0,6694.0,5.0,344.0
74,Aransas,7549.6506469999995,8600.689961,0.9907783090000001,0.0,23158,TX,10051.0,9543.0,5.0,508.0
75,Arapahoe,24873.537180000003,92322.68398999999,274.3204977,1.307313694,572003,CO,334230.0,321794.0,4.0,12436.0
76,Archer,1829.575953,2216.238234,445.397216,0.45321246200000004,9054,TX,4119.0,3937.0,4.0,182.0
77,Archuleta,2716.375276,3239.899947,353.7728586,0.20117304600000002,12084,CO,6010.0,5767.0,4.0,243.0
78,Arenac,5334.357962,5949.79535,12.94830873,0.0,15899,MI,6216.0,5659.0,9.0,557.0
79,Arkansas,2918.670578,5871.204402,826.9477109000001,0.0,19019,AR,9487.0,9092.0,4.0,395.0
80,Arlington,174.96251759999998,10487.25686,0.0,0.0,207627,VA,144282.0,140217.0,3.0,4065.0
81,Armstrong,13718.671,17248.71458,23.57499123,0.0,68941,PA,33025.0,30832.0,7.0,2193.0
82,Armstrong,560.0320027,560.0320027,558.8216464,84.66923751,1901,TX,975.0,949.0,3.0,26.0
83,Aroostook,18937.80531,23494.070480000002,2867.3170059999998,218.30595630000002,71870,ME,31704.0,29829.0,6.0,1875.0
84,Arthur,167.3708931,167.3708931,167.3708931,166.0009329,460,NE,224.0,214.0,5.0,10.0
85,Ascension,18956.78602,24800.10728,0.0,0.0,107215,LA,61748.0,58625.0,5.0,3123.0
86,Ashe,9812.818916,11313.62779,679.0904363,0.0,27281,NC,12310.0,11569.0,6.0,741.0
87,Ashland,10469.62709,14582.756019999999,0.0,0.0,53139,OH,25973.0,24670.0,5.0,1303.0
88,Ashland,3765.5762950000003,5647.6517969999995,1806.719347,107.6956372,16157,WI,7929.0,7434.0,6.0,495.0
89,Ashley,6094.712609,8445.132071,1590.58434,0.0,21853,AR,8146.0,7515.0,8.0,631.0
90,Ashtabula,23770.84879,33748.80001,0.0,0.0,101497,OH,44344.0,41699.0,6.0,2645.0
91,Asotin,1487.162136,4600.504620000001,175.9202213,55.58854625,21623,WA,9679.0,9212.0,5.0,467.0
92,Assumption,7759.275009999999,8832.249338,1252.667384,0.0,23421,LA,9816.0,9044.0,8.0,772.0
93,Atascosa,13144.40931,16680.18565,1455.216128,13.766133400000001,44911,TX,20520.0,19544.0,5.0,976.0
94,Atchison,2969.354662,5180.571265,565.5440639999999,0.0,16924,KS,7470.0,7012.0,6.0,458.0
95,Atchison,1046.774555,1719.190255,99.66886417,0.0,5685,MO,2834.0,2707.0,5.0,127.0
96,Athens,20057.2435,31227.52952,796.1579432999999,0.0,64757,OH,27908.0,26172.0,6.0,1736.0
97,Atkinson,3500.960277,3988.678865,914.9566377,0.0,8375,GA,3866.0,3644.0,6.0,222.0
98,Atlantic,42329.35076,63246.24842,96.55309853,0.0,274549,NJ,127902.0,115665.0,10.0,12237.0
99,Atoka,5468.647438,6242.930662,2597.498371,45.65302539,14182,OK,4862.0,4546.0,7.0,316.0
100,Attala,6040.489815999999,8614.884725,614.2307954,0.0,19564,MS,6985.0,6453.0,8.0,532.0
101,Audrain,5244.588611,7812.167818000001,435.90744620000004,0.0,25529,MO,11316.0,10792.0,5.0,524.0
102,Audubon,1466.355887,1921.326021,88.86653374,0.0,6119,IA,3239.0,3110.0,4.0,129.0
103,Auglaize,4058.970818,8035.827226,0.0,0.0,45949,OH,24452.0,23553.0,4.0,899.0
104,Augusta,15383.2819,17795.06214,558.8079407,0.0,73750,VA,36642.0,35139.0,4.0,1503.0
105,Aurora,910.5882962999999,910.5882962999999,909.3892229,752.9184325,2710,SD,1568.0,1533.0,2.0,35.0
106,Austin,5826.97283,7604.606401999999,693.5752727000001,0.0,28417,TX,14030.0,13386.0,5.0,644.0
107,Autauga,10081.25411,12737.59332,2517.2328030000003,0.0,54571,AL,25602.0,24272.0,5.0,1330.0
108,Avery,6149.12158,6888.432818000001,0.0,0.0,17797,NC,7531.0,7084.0,6.0,447.0
109,Avoyelles,16215.179030000001,19925.42209,869.1541725,0.0,42073,LA,15989.0,14787.0,8.0,1202.0
110,Baca,604.4169472,1089.0275689999999,316.2567746,94.20580364,3788,CO,1969.0,1929.0,2.0,40.0
111,Bacon,3678.5316759999996,4722.970349,181.27101240000002,0.0,11096,GA,4896.0,4615.0,6.0,281.0
112,Bailey,900.2267887,2707.653182,187.816713,4.413880849,7165,TX,2798.0,2678.0,4.0,120.0
113,Baker,8019.604418999999,9040.565364,2124.118162,21.95217671,27115,FL,11174.0,10549.0,6.0,625.0
114,Baker,1913.036508,1913.036508,1501.617507,0.0,3451,GA,1124.0,1042.0,7.0,82.0
115,Baker,3075.363724,5333.727086,1620.456433,920.0306016000001,16134,OR,6672.0,6222.0,7.0,450.0
116,Baldwin,43631.89488,51981.07063,1134.3909230000002,2.3168165530000002,182265,AL,87705.0,82843.0,6.0,4862.0
117,Baldwin,10683.67563,17330.19183,18.01657492,0.0,45720,GA,17750.0,16391.0,8.0,1359.0
118,Ballard,2698.5743420000003,2841.0524219999998,210.3569724,0.0,8249,KY,3604.0,3357.0,7.0,247.0
119,Baltimore,29873.43,101295.64,0.0,0.0,805029,MD,446382.0,422797.0,5.0,23585.0
120,Baltimore,29873.43,101295.64,0.0,0.0,805029,MD,294550.0,272395.0,8.0,22155.0
121,Bamberg,4847.038605,6505.192677,151.3624029,0.0,15987,SC,5460.0,4888.0,11.0,572.0
122,Bandera,6346.446835,6875.779487000001,967.7833627999998,318.387983,20485,TX,9171.0,8807.0,4.0,364.0
123,Banks,7053.931072,7089.970067,379.2278985,0.0,18395,GA,8222.0,7764.0,6.0,458.0
124,Banner,300.9166689,300.9166689,300.9166689,130.3250361,690,NE,440.0,425.0,3.0,15.0
125,Bannock,9821.903703,22307.43604,1198.429897,2.703997217,82839,ID,41861.0,40167.0,4.0,1694.0
126,Baraga,1920.855513,2496.581613,339.2256359,25.76378681,8860,MI,3291.0,2991.0,9.0,300.0
127,Barber,671.1852511,1051.104208,202.69352450000002,4.036622457,4861,KS,2662.0,2549.0,4.0,113.0
128,Barbour,8705.797595999999,11377.77601,2993.332113,0.0,27457,AL,8609.0,7844.0,9.0,765.0
129,Barbour,5501.372153,6863.751806,52.79397593,0.0,16589,WV,6883.0,6373.0,7.0,510.0
