,Civilian labour force,County,Employed poulation,Rate of Unemployment,State,Unemployed population
175,8295.0,Polk,7815.0,6.0,AR,480.0
176,29676.0,Pope,28110.0,5.0,AR,1566.0
177,3728.0,Prairie,3553.0,5.0,AR,175.0
178,186061.0,Pulaski,177567.0,5.0,AR,8494.0
179,6184.0,Randolph,5742.0,7.0,AR,442.0
180,8948.0,St.,8302.0,7.0,AR,646.0
181,55992.0,Saline,53714.0,4.0,AR,2278.0
182,4486.0,Scott,4271.0,5.0,AR,215.0
183,3027.0,Searcy,2856.0,6.0,AR,171.0
184,57731.0,Sebastian,54961.0,5.0,AR,2770.0
185,5603.0,Sevier,5260.0,6.0,AR,343.0
186,6004.0,Sharp,5591.0,7.0,AR,413.0
187,4705.0,Stone,4411.0,6.0,AR,294.0
188,16871.0,Union,15837.0,6.0,AR,1034.0
189,6427.0,Van,5996.0,7.0,AR,431.0
190,115236.0,Washington,111175.0,4.0,AR,4061.0
191,34536.0,White,32391.0,6.0,AR,2145.0
192,3031.0,Woodruff,2837.0,6.0,AR,194.0
193,8941.0,Yell,8486.0,5.0,AR,455.0
195,823130.0,Alameda,784217.0,5.0,CA,38913.0
196,546.0,Alpine,506.0,7.0,CA,40.0
197,14343.0,Amador,13396.0,7.0,CA,947.0
198,101337.0,Butte,94074.0,7.0,CA,7263.0
199,20586.0,Calaveras,19272.0,6.0,CA,1314.0
200,11070.0,Colusa,9367.0,15.0,CA,1703.0
201,547455.0,Contra,519999.0,5.0,CA,27456.0
202,9876.0,Del,9033.0,9.0,CA,843.0
203,88350.0,El,83326.0,6.0,CA,5024.0
204,441364.0,Fresno,396410.0,10.0,CA,44954.0
205,12988.0,Glenn,11856.0,9.0,CA,1132.0
206,62454.0,Humboldt,58964.0,6.0,CA,3490.0
207,78162.0,Imperial,59351.0,24.0,CA,18811.0
208,9107.0,Inyo,8580.0,6.0,CA,527.0
209,390873.0,Kern,350944.0,10.0,CA,39929.0
210,57873.0,Kings,51797.0,11.0,CA,6076.0
211,29060.0,Lake,26852.0,8.0,CA,2208.0
212,10783.0,Lassen,10004.0,7.0,CA,779.0
213,5002332.0,Los,4671098.0,7.0,CA,331234.0
214,60021.0,Madera,53719.0,11.0,CA,6302.0
215,139512.0,Marin,134572.0,4.0,CA,4940.0
216,8027.0,Mariposa,7454.0,7.0,CA,573.0
217,39930.0,Mendocino,37609.0,6.0,CA,2321.0
218,114340.0,Merced,101362.0,11.0,CA,12978.0
219,3305.0,Modoc,3022.0,9.0,CA,283.0
220,8262.0,Mono,7757.0,6.0,CA,505.0
221,218811.0,Monterey,201110.0,8.0,CA,17701.0
222,73937.0,Napa,70523.0,5.0,CA,3414.0
223,48140.0,Nevada,45532.0,5.0,CA,2608.0
224,1588764.0,Orange,1517820.0,5.0,CA,70944.0
225,176855.0,Placer,167923.0,5.0,CA,8932.0
226,7900.0,Plumas,7088.0,10.0,CA,812.0
227,1035694.0,Riverside,966338.0,7.0,CA,69356.0
228,685987.0,Sacramento,644870.0,6.0,CA,41117.0
229,29342.0,San,27087.0,8.0,CA,2255.0
230,921170.0,San,861894.0,6.0,CA,59276.0
231,1554903.0,San,1474197.0,5.0,CA,80706.0
232,545704.0,San,525939.0,4.0,CA,19765.0
233,315286.0,San,287278.0,9.0,CA,28008.0
234,139613.0,San,133029.0,5.0,CA,6584.0
235,437690.0,San,422826.0,3.0,CA,14864.0
236,217769.0,Santa,206250.0,5.0,CA,11519.0
237,1009804.0,Santa,967710.0,4.0,CA,42094.0
238,143426.0,Santa,132675.0,8.0,CA,10751.0
239,74324.0,Shasta,68550.0,8.0,CA,5774.0
240,1356.0,Sierra,1237.0,9.0,CA,119.0
241,17920.0,Siskiyou,16242.0,9.0,CA,1678.0
242,205325.0,Solano,192736.0,6.0,CA,12589.0
243,258426.0,Sonoma,246837.0,5.0,CA,11589.0
244,241609.0,Stanislaus,218687.0,10.0,CA,22922.0
245,44704.0,Sutter,39914.0,11.0,CA,4790.0
246,25076.0,Tehama,23094.0,8.0,CA,1982.0
