Unnamed: 0_x,State,County,Population_x,People 1/2 Mile and More,People 1 Mile and More,People 10 Miles and More,People 20 Miles and More,Unnamed: 0_y,Civilian labour force,Employed poulation,Unemployed population,Rate of Unemployment,Zipcode,Population_y,Unemployment Rate,% of Pop with no education,Latitude,Longitude
728,UT,Davis,306479,235269.2676,113480.7747,0.0,0.0,2830,160321.0,154896.0,5425.0,3.0,,,,,,
729,SD,Davison,19504,14894.361830000002,8060.14003,1258.704964,0.0,2423,11305.0,11018.0,287.0,3.0,,,,,,
730,NE,Dawes,9182,6732.991368999999,3448.406718,2105.035547,1398.7013029999998,1707,5250.0,5114.0,136.0,3.0,,,,,,
731,GA,Dawson,22330,20801.28772,18690.671469999997,0.0,0.0,443,10945.0,10387.0,558.0,5.0,,,,,,
732,MT,Dawson,8966,8565.100468,6053.31455,1101.900083,694.2292916,1638,4813.0,4662.0,151.0,3.0,,,,,,
733,NE,Dawson,24326,19871.80879,13570.877390000001,1926.9249260000001,33.07013056,1708,13062.0,12648.0,414.0,3.0,,,,,,
734,TX,Dawson,13833,10632.71397,5847.119211,1170.83001,172.19811669999999,2627,4769.0,4553.0,216.0,5.0,,,,,,
735,SD,Day,5710,4602.629354,3761.28383,2790.8213100000003,16.74782172,2424,2855.0,2712.0,143.0,5.0,,,,,,
736,NM,De Baca,2022,2022.000005,2022.000005,2022.000005,2022.000005,,,,,,,,,,,
737,LA,De Soto,26656,24372.51942,20839.89214,5925.71444,0.0,,,,,,,,,,,
738,IL,De Witt,16561,10835.58244,7041.975512999999,298.51912250000004,0.0,,,,,,,,,,,
739,AL,DeKalb,71109,67064.82697000001,59861.741570000006,0.0,0.0,26,28767.0,27022.0,1745.0,6.0,,,,,,
740,GA,DeKalb,691893,489388.3386,193693.9222,0.0,0.0,445,373115.0,350620.0,22495.0,6.0,,,,,,
741,IL,DeKalb,105160,89805.36803,53070.08042,282.4900902,0.0,630,54601.0,51549.0,3052.0,6.0,,,,,,
742,IN,DeKalb,42223,38295.5578,29726.073889999996,0.0,0.0,731,21784.0,20887.0,897.0,4.0,,,,,,
743,MO,DeKalb,12892,11978.62744,8770.264261,4821.586914,0.0,1543,5050.0,4816.0,234.0,5.0,,,,,,
744,TN,DeKalb,18723,16565.98227,14469.72824,177.7139688,0.0,2494,7354.0,6849.0,505.0,7.0,,,,,,
745,FL,DeSoto,34862,28933.178969999997,20737.85165,696.6015507999999,0.050435392999999995,346,13379.0,12601.0,778.0,6.0,,,,,,
746,MS,DeSoto,161252,147061.7556,107950.9945,1728.92263,0.0,1445,84566.0,80508.0,4058.0,5.0,,,,,,
747,TX,DeWitt,20097,17732.84755,12256.61035,1374.972634,0.0,2631,10045.0,9645.0,400.0,4.0,,,,,,
748,TX,Deaf Smith,19372,14064.33946,6806.008203,942.5940982000001,156.0951757,,,,,,,,,,,
749,IN,Dearborn,50047,47222.39516,45001.84099,0.0,0.0,729,25214.0,23920.0,1294.0,5.0,,,,,,
750,GA,Decatur,27842,21754.51431,18604.052490000002,1672.8648,0.0,444,11394.0,10620.0,774.0,7.0,,,,,,
751,IA,Decatur,8457,7640.889434000001,5106.385425,919.4954215,0.0,834,4431.0,4285.0,146.0,3.0,,,,,,
752,IN,Decatur,25740,20665.2858,15350.74259,2786.917734,0.0,730,14293.0,13711.0,582.0,4.0,,,,,,
753,KS,Decatur,2961,1546.215689,1039.92961,499.8395562,0.0028178920000000002,927,1351.0,1301.0,50.0,4.0,,,,,,
754,TN,Decatur,11757,10858.49054,9181.892377,749.0457771,0.0,2493,4704.0,4334.0,370.0,8.0,,,,,,
755,MT,Deer Lodge,9298,7070.267370999999,3489.8519549999996,315.2554477,28.10977118,,,,,,,,,,,
756,OH,Defiance,39037,34058.75447,23771.97378,0.0,0.0,2101,18671.0,17756.0,915.0,5.0,,,,,,
757,CA,Del Norte,28610,24831.714640000002,18634.850280000002,1625.0953769999999,74.20053687,,,,,,,,,,,
758,IA,Delaware,17764,15672.023130000001,12619.97746,1118.612029,0.0,835,10692.0,10328.0,364.0,3.0,,,,,,
