,County,People 1 Mile and More,People 1/2 Mile and More,People 10 Miles and More,People 20 Miles and More,Population,State
2505,San Juan,35102.53894,43961.915610000004,7409.757258,5654.94348,130044,NM
2506,San Juan,5452.135671999999,6532.485984,3839.8558310000003,3198.084402,14746,UT
2507,San Juan,2705.143588,3276.60921,8.369620173,0.0,15769,WA
2508,San Luis Obispo,23593.84247,52521.34347,1653.538532,223.3102826,269637,CA
2509,San Mateo,12345.89304,53154.8509,719.5250942000001,0.0,718451,CA
2510,San Miguel,631.3481979,932.4752156999999,98.44147077,1.270583527,7359,CO
2511,San Miguel,7320.780276,10974.761120000001,2664.635069,792.1857034,29393,NM
2512,San Patricio,9807.369989,19260.38225,27.93679265,0.0,64804,TX
2513,San Saba,1515.710695,1921.0118,721.5956654,35.22280048,6131,TX
2514,Sanborn,711.3248514,711.3248514,702.0007472,62.83788052,2355,SD
2515,Sanders,4222.627621,4580.458814,2487.510396,995.1683198,11413,MT
2516,Sandoval,25079.884280000002,31730.644480000003,8386.531520999999,2908.717554,131561,NM
2517,Sandusky,6406.734636,13129.3823,0.0,0.0,60944,OH
2518,Sangamon,18837.32711,42712.171519999996,533.4532686000001,0.0,197465,IL
2519,Sanilac,10920.91309,13778.32559,500.58855,0.0,43114,MI
2520,Sanpete,6522.994665,10170.93268,585.2974531000001,0.0,27822,UT
2521,Santa Barbara,17849.93651,62205.4942,935.9448118999999,84.31244699999999,423895,CA
2522,Santa Clara,27712.417810000003,172799.0012,60.27457594,0.0,1781642,CA
2523,Santa Cruz,13161.67717,18783.4368,868.3315195,36.28046392,47420,AZ
2524,Santa Cruz,18414.11981,38584.53476,2.753166251,0.0,262382,CA
2525,Santa Fe,24731.31979,35582.40086,692.3692683999999,8.295827315,144170,NM
2526,Santa Rosa,29279.91445,38271.265569999996,677.4048280000001,0.0,151372,FL
2527,Sarasota,36821.19408,75631.4909,9.132280649,0.0,379448,FL
2528,Saratoga,22278.38763,31623.19881,30.95156361,0.0,219607,NY
2529,Sargent,698.7164084,719.2695401000001,245.1390287,0.0,3829,ND
2530,Sarpy,11894.88052,22147.827719999997,0.064223924,0.0,158840,NE
2531,Sauk,8181.2042870000005,12190.44973,58.30922879999999,0.0,61976,WI
2532,Saunders,2526.213501,2930.5429489999997,698.5866988,0.0,20780,NE
2533,Sawyer,5684.623073,6372.988003,1847.5619609999999,303.1215283,16557,WI
2534,Schenectady,16505.37856,33442.20163,323.4399004,0.0,154727,NY
2535,Schleicher,323.39899019999996,607.8180913,48.79206261,13.05994167,3461,TX
2536,Schley,1543.178116,2150.008754,26.77494654,0.0,5010,GA
2537,Schoharie,7333.952165000001,8421.724188,306.26831319999997,0.0,32749,NY
2538,Schoolcraft,2105.942536,2671.277353,806.0752643999999,244.4193798,8485,MI
2539,Schuyler,1415.78328,2251.0926670000003,408.3175219,0.0,7544,IL
2540,Schuyler,1810.6439239999997,1810.6439239999997,1397.156976,0.0,4431,MO
2541,Schuyler,5095.668486,5379.535904,0.0,0.0,18343,NY
2542,Schuylkill,17825.898409999998,29058.3801,0.0,0.0,148289,PA
2543,Scioto,21219.80498,28428.86005,861.8855487,0.0,79499,OH
2544,Scotland,1592.604157,1967.6187129999998,324.46734530000003,0.0,4843,MO
2545,Scotland,11832.4953,15788.532940000001,435.44518960000005,0.0,36157,NC
2546,Scott,3628.7918619999996,4919.255193,689.5539289,19.49339961,11233,AR
2547,Scott,9923.991003000001,32099.114889999997,283.8370756,0.0,165224,IA
2548,Scott,935.5252968,1041.452556,51.1189159,0.0,5355,IL
2549,Scott,4595.9922799999995,6795.871037999999,0.0,0.0,24181,IN
2550,Scott,125.7415616,285.54890730000005,53.3836796,0.0,4936,KS
2551,Scott,5439.490662,9409.59666,360.6902295,0.0,47173,KY
2552,Scott,9077.313617,14220.25979,0.0,0.0,129928,MN
2553,Scott,9814.071127,13384.80561,1142.4290839999999,0.0,39191,MO
2554,Scott,10091.674309999999,12311.68851,1482.746744,0.0,28264,MS
2555,Scott,9331.249931,10429.97422,420.9997841,0.0,22228,TN
2556,Scott,7940.562337,8816.567581,707.6130029,0.0,23177,VA
2557,Scotts Bluff,6595.994105,11701.08092,549.5030642,0.0,36970,NE
2558,Screven,5577.216985,6122.182251,1322.792418,0.0,14593,GA
2559,Scurry,4055.828096,5969.4996009999995,411.48244950000003,2.22399992,16921,TX
2560,Searcy,3796.614461,4195.368352,1567.579783,0.049011402,8195,AR
2561,Sebastian,14385.30744,37344.21596,124.7564277,0.0,125744,AR
2562,Sedgwick,345.07882010000003,477.14803319999993,107.98216529999999,2.0845416009999997,2379,CO
2563,Sedgwick,56566.89844,119516.2727,307.5107838,0.0,498365,KS
2564,Seminole,36273.37369,76831.48051000001,0.084601463,0.0,422718,FL
2565,Seminole,2938.711088,3924.084989,189.1535161,0.0,8729,GA
2566,Seminole,7153.072934000001,10005.73942,694.7662149,0.0,25482,OK
2567,Seneca,7779.01382,9537.023942,0.0,0.0,35251,NY
2568,Seneca,8312.68702,14474.825569999999,0.0,0.0,56745,OH
2569,Sequatchie,5299.980992,6591.242047,61.94803422,0.0,14112,TN
2570,Sequoyah,12033.22503,15822.897369999999,43.06197024,0.0,42391,OK
2571,Sevier,7053.0919189999995,8519.86377,831.5429629,0.0,17058,AR
2572,Sevier,24120.89341,30745.93607,797.2174682,0.0,89889,TN
2573,Sevier,3125.377693,5024.228013,141.8615444,0.0,20802,UT
2574,Seward,6768.265796,9451.277593,299.6985619,21.93321023,22952,KS
2575,Seward,2275.772505,2659.021413,585.6190972999999,0.0,16750,NE
2576,Shackelford,417.8002186,816.8470996,159.1362072,0.0,3378,TX
2577,Shannon,3714.5995829999997,4105.148999,1104.9272859999999,62.76681253,8441,MO
2578,Shannon,7393.739654999999,8904.498246,5089.355447999999,412.0145033,13586,SD
2579,Sharkey,1725.458161,2319.5029289999998,184.9202282,0.0,4916,MS
2580,Sharp,6712.380378,7946.555728,642.9211284,0.0,17264,AR
2581,Shasta,28105.955319999997,48236.50917,1420.0360039999998,13.8065392,177223,CA
2582,Shawano,10314.78872,11989.72104,2137.491616,0.0,41949,WI
2583,Shawnee,22826.97975,45405.059010000004,0.590020841,0.0,177934,KS
2584,Sheboygan,7913.942540999999,19297.92468,189.3491669,0.0,115507,WI
2585,Shelby,23600.22427,33488.48859,139.0006947,0.0,195085,AL
2586,Shelby,2507.652427,3350.726278,712.1183639999999,0.0,12167,IA
2587,Shelby,4576.372104,5380.851793,1297.344533,0.0,22363,IL
2588,Shelby,5356.1715460000005,8104.613219,339.7235207,0.0,44436,IN
2589,Shelby,5528.529418,9043.614489,24.09916385,0.0,42074,KY
2590,Shelby,1816.362029,2166.377254,950.2098699999999,1.597812414,6373,MO
2591,Shelby,8571.267344,12479.02023,0.0,0.0,49423,OH
2592,Shelby,94674.52434,251270.9462,0.0,0.0,927644,TN
2593,Shelby,7983.205479000001,10248.80395,1136.135047,0.0,25448,TX
2594,Shenandoah,7216.898954,10073.47262,30.83313631,0.0,41993,VA
2595,Sherburne,11763.65148,15282.138009999999,2.8758294839999996,0.0,88499,MN
2596,Sheridan,945.8593124,945.8593124,933.9303907,684.0833474,2556,KS
2597,Sheridan,525.242077,688.704325,381.08048219999995,54.57208347,3384,MT
2598,Sheridan,560.8886339,560.8886339,460.7687784,321.00726299999997,1321,ND
2599,Sheridan,1360.1765480000001,1642.473516,886.1117197000001,220.2512276,5469,NE
2600,Sheridan,4502.338513000001,6188.63897,1139.278141,133.59018079999998,29116,WY
2601,Sherman,1910.020625,2228.829929,327.7730836,7.387197735,6010,KS
2602,Sherman,806.9732455,957.0949648,479.0679081,0.0,3152,NE
2603,Sherman,561.5200197,562.6473487000001,268.88021089999995,3.853425113,1765,OR
2604,Sherman,190.5710939,578.4534406,140.7036947,0.26396115,3034,TX
2605,Shiawassee,14937.92389,20050.37411,0.0,0.0,70648,MI
2606,Shoshone,1987.740534,2911.228811,234.3332662,1.559196325,12765,ID
2607,Sibley,2095.231844,2671.17787,100.4262179,0.0,15226,MN
2608,Sierra,768.4093195,768.4093195,693.7754932,9.875538838999999,3240,CA
2609,Sierra,3278.807886,5543.298692,945.3674507000001,192.4589778,11988,NM
2610,Silver Bow,4089.478704,9273.746989,73.80793083,19.65717856,34200,MT
2611,Simpson,3075.913662,4950.414701,0.0,0.0,17327,KY
2612,Simpson,9393.186221,11099.17182,881.7276472000001,0.0,27503,MS
2613,Sioux,3101.674692,5639.834717,7.754658758,0.0,33704,IA
2614,Sioux,2304.654659,2422.7156010000003,1088.4909519999999,357.6212636,4153,ND
2615,Sioux,430.4429972,430.4429972,320.91065249999997,292.278408,1311,NE
2616,Siskiyou,11189.11889,15016.8624,2844.33995,563.7433356,44900,CA
2617,Sitka,886.8277509,1256.964575,0.0,0.0,8881,AK
2618,Skagit,16010.541680000002,25943.16973,499.34431739999997,6.084177481,116901,WA
2619,Skagway,21.25647798,40.54134963,0.93546944,0.049684082000000004,968,AK
2620,Skamania,2607.530475,2794.7588760000003,100.125883,0.0,11066,WA
2621,Slope,197.9999989,197.9999989,188.5708565,91.84325997,727,ND
2622,Smith,701.2888201000001,1029.3520330000001,481.6098466,0.973715558,3853,KS
2623,Smith,6586.1189380000005,6884.173951000001,870.4259164999999,0.0,16491,MS
2624,Smith,5202.825238,6005.087317,2.500871181,0.0,19166,TN
2625,Smith,41451.219860000005,65258.19557,41.72455327,0.0,209714,TX
2626,Smyth,10299.083540000001,12564.895129999999,65.56590227,0.0,32208,VA
2627,Snohomish,38567.78815,88913.37791,345.34271839999997,11.77428003,713335,WA
2628,Snyder,8931.112781,10644.49975,654.5192811000001,0.0,39702,PA
2629,Socorro,5240.644784,7395.429995,2640.832568,1478.2521279999999,17866,NM
2630,Solano,21920.8947,56650.46792999999,11.36369861,0.0,413344,CA
2631,Somerset,7078.707873,8517.963274,392.0617781,0.0,26470,MD
2632,Somerset,15853.083319999998,19017.56205,1547.051907,79.65737086,52228,ME
2633,Somerset,11811.77085,24846.49059,0.0,0.0,323444,NJ
2634,Somerset,23784.39047,26018.213480000002,685.735488,0.0,77742,PA
2635,Somervell,1396.850031,1659.704531,0.0,0.0,8490,TX
2636,Sonoma,30917.84984,70174.01635,293.79614019999997,0.0,483878,CA
2637,Southampton,6873.071275,6899.383312000001,2707.819832,0.0,18570,VA
2638,Southeast Fairbanks,1636.680001,1742.503173,644.3108965,395.44930189999997,7029,AK
2639,Spalding,14700.52715,20884.848430000002,0.0,0.0,64073,GA
2640,Spartanburg,68907.25209,93413.78949,1039.805769,0.0,284307,SC
2641,Spencer,4155.534214,4683.908917,0.619820623,0.0,20952,IN
2642,Spencer,2889.3456899999996,3319.439142,0.0,0.0,17061,KY
2643,Spink,1223.776502,1708.00458,915.5003201999999,143.5661253,6415,SD
