State,State Abb,County,UID (county-state),Unemployment Rate,Population
Mississippi,MS,Yalobusha,Yalobusha-MS,7.125,12678
Kansas,KS,Marion,Marion-KS,3.866666667,12660
Texas,TX,Terry,Terry-TX,4.733333333,12651
Illinois,IL,Marshall,Marshall-IL,6.658333333,12640
Kentucky,KY,Powell,Powell-KY,7.258333333,12613
Virginia,VA,Charlotte,Charlotte-VA,5.741666667,12586
Illinois,IL,Johnson,Johnson-IL,8.575,12582
Colorado,CO,Prowers,Prowers-CO,4.066666667,12551
Iowa,IA,Union,Union-IA,4.058333333,12534
Utah,UT,Millard,Millard-UT,3.491666667,12503
Mississippi,MS,Jefferson Davis,Jefferson Davis-MS,8.75,12487
Kentucky,KY,Todd,Todd-KY,4.741666667,12460
Iowa,IA,Grundy,Grundy-IA,3.708333333,12453
Minnesota,MN,Chippewa,Chippewa-MN,4.4,12441
Iowa,IA,Chickasaw,Chickasaw-IA,4.425,12439
Missouri,MO,Barton,Barton-MO,5.45,12402
Texas,TX,Camp,Camp-TX,6.25,12401
Arkansas,AR,Stone,Stone-AR,6.533333333,12394
Virginia,VA,Northampton,Northampton-VA,6.141666667,12389
Missouri,MO,Bollinger,Bollinger-MO,5.591666667,12363
Virginia,VA,Northumberland,Northumberland-VA,6.158333333,12330
Mississippi,MS,Perry,Perry-MS,8,12250
Arkansas,AR,Fulton,Fulton-AR,5.35,12245
Virginia,VA,Greensville,Greensville-VA,5.383333333,12243
Missouri,MO,Montgomery,Montgomery-MO,4.991666667,12236
Missouri,MO,Madison,Madison-MO,5.808333333,12226
North Carolina,NC,Gates,Gates-NC,5.508333333,12197
Oklahoma,OK,Okfuskee,Okfuskee-OK,5.7,12191
Iowa,IA,Shelby,Shelby-IA,2.783333333,12167
Tennessee,TN,Lewis,Lewis-TN,7.533333333,12161
Kentucky,KY,Edmonson,Edmonson-KY,7.133333333,12161
Virginia,VA,Sussex,Sussex-VA,6.766666667,12087
Colorado,CO,Archuleta,Archuleta-CO,4.05,12084
Iowa,IA,Cherokee,Cherokee-IA,5.083333333,12072
New Mexico,NM,Sierra,Sierra-NM,9.191666667,11988
Colorado,CO,Rio Grande,Rio Grande-CO,6.291666667,11982
Illinois,IL,Wabash,Wabash-IL,5.65,11947
Oklahoma,OK,Blaine,Blaine-OK,3.691666667,11943
West Virginia,WV,Grant,Grant-WV,7.625,11937
Michigan,MI,Iron,Iron-MI,1.016666667,11817
Arkansas,AR,Chicot,Chicot-AR,9.366666667,11800
Texas,TX,Duval,Duval-TX,8.241666667,11782
Tennessee,TN,Decatur,Decatur-TN,8.166666667,11757
Tennessee,TN,Meigs,Meigs-TN,7.766666667,11753
Kentucky,KY,Washington,Washington-KY,4.441666667,11717
Montana,MT,Custer,Custer-MT,3.258333333,11699
Minnesota,MN,Cottonwood,Cottonwood-MN,4.741666667,11687
Texas,TX,Zavala,Zavala-TX,11.10833333,11677
Alabama,AL,Wilcox,Wilcox-AL,14.63333333,11670
Wyoming,WY,Big Horn,Big Horn-WY,4.333333333,11668
Tennessee,TN,Jackson,Jackson-TN,8.05,11638
Oklahoma,OK,Washita,Washita-OK,5.333333333,11629
Kentucky,KY,Bath,Bath-KY,7.791666667,11591
Montana,MT,Fergus,Fergus-MT,4.158333333,11586
Iowa,IA,Lyon,Lyon-IA,1.941666667,11581
Oklahoma,OK,Pushmataha,Pushmataha-OK,7.575,11572
Oklahoma,OK,Noble,Noble-OK,3.441666667,11561
Mississippi,MS,Noxubee,Noxubee-MS,9.891666667,11545
Alabama,AL,Coosa,Coosa-AL,6.741666667,11539
Michigan,MI,Lake,Lake-MI,1.316666667,11539
Texas,TX,Live Oak,Live Oak-TX,4.108333333,11531
Idaho,ID,Owyhee,Owyhee-ID,4.675,11526
Arkansas,AR,Bradley,Bradley-AR,6.225,11508
North Dakota,ND,Ramsey,Ramsey-ND,3.366666667,11451
Montana,MT,Sanders,Sanders-MT,8.216666667,11413
Montana,MT,Jefferson,Jefferson-MT,4.008333333,11406
Virginia,VA,Lancaster,Lancaster-VA,6.716666667,11391
Iowa,IA,Louisa,Louisa-IA,3.725,11387
Iowa,IA,Hancock,Hancock-IA,2.666666667,11341
Kentucky,KY,Leslie,Leslie-KY,10.83333333,11310
Nebraska,NE,Box Butte,Box Butte-NE,3.05,11308
Alabama,AL,Lowndes,Lowndes-AL,11.58333333,11299
Arkansas,AR,Pike,Pike-AR,6.216666667,11291
Kentucky,KY,Green,Green-KY,5.466666667,11258
Arkansas,AR,Scott,Scott-AR,4.975,11233
Minnesota,MN,Watonwan,Watonwan-MN,4.683333333,11211
South Dakota,SD,Lake,Lake-SD,3.608333333,11200
Oregon,OR,Morrow,Morrow-OR,5.816666667,11173
North Carolina,NC,Alleghany,Alleghany-NC,6.183333333,11155
Oklahoma,OK,Latimer,Latimer-OK,7.875,11154
Virginia,VA,Essex,Essex-VA,5.416666667,11151
North Dakota,ND,Walsh,Walsh-ND,4.125,11119
Michigan,MI,Mackinac,Mackinac-MI,0.533333333,11113
North Dakota,ND,Barnes,Barnes-ND,3.183333333,11066
Washington,WA,Skamania,Skamania-WA,7.225,11066
Nebraska,NE,Red Willow,Red Willow-NE,2.616666667,11055
Illinois,IL,Cumberland,Cumberland-IL,5.366666667,11048
Minnesota,MN,Pope,Pope-MN,3.3,10995
Utah,UT,Emery,Emery-UT,5.975,10976
Idaho,ID,Boundary,Boundary-ID,5.383333333,10972
Kentucky,KY,Monroe,Monroe-KY,4.391666667,10963
Virginia,VA,Middlesex,Middlesex-VA,4.308333333,10959
Oklahoma,OK,Johnston,Johnston-OK,6.375,10957
Iowa,IA,Guthrie,Guthrie-IA,3.641666667,10954
Michigan,MI,Alcona,Alcona-MI,1.183333333,10942
Nebraska,NE,Custer,Custer-NE,2.216666667,10939
Mississippi,MS,Montgomery,Montgomery-MS,7.883333333,10925
Alabama,AL,Bullock,Bullock-AL,7.766666667,10914
Texas,TX,Rains,Rains-TX,4.583333333,10914
Missouri,MO,Oregon,Oregon-MO,6.283333333,10881
Minnesota,MN,Lake,Lake-MN,4.8,10866
Iowa,IA,Winnebago,Winnebago-IA,3.875,10866
Kentucky,KY,Owen,Owen-KY,4.15,10841
Texas,TX,Sabine,Sabine-TX,9.441666667,10834
Kentucky,KY,Carroll,Carroll-KY,5.791666667,10811
Mississippi,MS,Tunica,Tunica-MS,9.241666667,10778
Iowa,IA,Mitchell,Mitchell-IA,2.816666667,10776
Texas,TX,Clay,Clay-TX,4.433333333,10752
Iowa,IA,Montgomery,Montgomery-IA,3.508333333,10740
Indiana,IN,Crawford,Crawford-IN,6.008333333,10713
Iowa,IA,Franklin,Franklin-IA,3.325,10680
Texas,TX,Ward,Ward-TX,4.3,10658
Missouri,MO,Iron,Iron-MO,7.825,10630
Indiana,IN,Switzerland,Switzerland-IN,4.933333333,10613
Texas,TX,Franklin,Franklin-TX,4.966666667,10605
Mississippi,MS,Carroll,Carroll-MS,8.433333333,10597
Alabama,AL,Perry,Perry-AL,9.958333333,10591
North Carolina,NC,Clay,Clay-NC,6.116666667,10587
Washington,WA,Lincoln,Lincoln-WA,5.766666667,10570
Texas,TX,Marion,Marion-TX,6.541666667,10546
Oklahoma,OK,Nowata,Nowata-OK,5.466666667,10536
Nebraska,NE,Colfax,Colfax-NE,2.616666667,10515
Iowa,IA,Keokuk,Keokuk-IA,4.133333333,10511
Texas,TX,Runnels,Runnels-TX,3.741666667,10501
Texas,TX,Blanco,Blanco-TX,3.141666667,10497
Mississippi,MS,Kemper,Kemper-MS,10.425,10456
West Virginia,WV,Ritchie,Ritchie-WV,7.033333333,10449
Arkansas,AR,Perry,Perry-AR,6.291666667,10445
Minnesota,MN,Yellow Medicine,Yellow Medicine-MN,3.766666667,10438
Nebraska,NE,Holt,Holt-NE,2.383333333,10435
Montana,MT,Roosevelt,Roosevelt-MT,5.183333333,10425
Arkansas,AR,Lee,Lee-AR,6.883333333,10424
South Carolina,SC,Allendale,Allendale-SC,11.41666667,10419
Iowa,IA,Sac,Sac-IA,3.258333333,10350
Indiana,IN,Martin,Martin-IN,4.191666667,10334
Iowa,IA,Emmet,Emmet-IA,3.658333333,10302
Kentucky,KY,Clinton,Clinton-KY,8.291666667,10272
Texas,TX,Parmer,Parmer-TX,2.441666667,10269
Minnesota,MN,Jackson,Jackson-MN,4.016666667,10266
Missouri,MO,Grundy,Grundy-MO,4.108333333,10261
Mississippi,MS,Webster,Webster-MS,7.325,10253
Wyoming,WY,Sublette,Sublette-WY,5.133333333,10247
Utah,UT,Juab,Juab-UT,3.866666667,10246
South Carolina,SC,McCormick,McCormick-SC,7.158333333,10233
Texas,TX,Ochiltree,Ochiltree-TX,4.283333333,10223
Missouri,MO,Lewis,Lewis-MO,4.891666667,10211
Idaho,ID,Washington,Washington-ID,5.75,10198
Kansas,KS,Nemaha,Nemaha-KS,2.608333333,10178
Massachusetts,MA,Nantucket,Nantucket-MA,6.091666667,10172
Idaho,ID,Teton,Teton-ID,3.475,10170
Missouri,MO,Ralls,Ralls-MO,4.233333333,10167
North Carolina,NC,Jones,Jones-NC,5.825,10153
South Dakota,SD,Roberts,Roberts-SD,4.458333333,10149
Missouri,MO,Howard,Howard-MO,4.875,10144
Kansas,KS,Marshall,Marshall-KS,2.941666667,10117
South Dakota,SD,Butte,Butte-SD,3.45,10110
Kentucky,KY,Metcalfe,Metcalfe-KY,5.291666667,10099
Kansas,KS,Rice,Rice-KS,3.825,10083
Montana,MT,Carbon,Carbon-MT,3.608333333,10078
Virginia,VA,Cumberland,Cumberland-VA,5.258333333,10052
Colorado,CO,Yuma,Yuma-CO,2.658333333,10043
Nevada,NV,White Pine,White Pine-NV,5.391666667,10030
Nebraska,NE,Cheyenne,Cheyenne-NE,2.15,9998
Texas,TX,Dimmit,Dimmit-TX,4.725,9996
Kansas,KS,Brown,Brown-KS,4.033333333,9984
North Carolina,NC,Camden,Camden-NC,5.791666667,9980
Mississippi,MS,Wilkinson,Wilkinson-MS,10.60833333,9878
Idaho,ID,Valley,Valley-ID,6.175,9862
Iowa,IA,Humboldt,Humboldt-IA,3.275,9815
Minnesota,MN,Swift,Swift-MN,6.025,9783
Michigan,MI,Montmorency,Montmorency-MI,1.408333333,9765
Montana,MT,Richland,Richland-MT,3.175,9746
Minnesota,MN,Stevens,Stevens-MN,2.783333333,9726
Missouri,MO,Ozark,Ozark-MO,7.9,9723
Illinois,IL,Jasper,Jasper-IL,6.333333333,9698
Minnesota,MN,Rock,Rock-MN,2.141666667,9687
California,CA,Modoc,Modoc-CA,8.791666667,9686
Iowa,IA,Calhoun,Calhoun-IA,4.25,9670
Kansas,KS,Linn,Linn-KS,6.433333333,9656
Kansas,KS,Pratt,Pratt-KS,4.1,9656
Texas,TX,Stephens,Stephens-TX,4.25,9630
Missouri,MO,Hickory,Hickory-MO,6.683333333,9627
South Dakota,SD,Todd,Todd-SD,7.416666667,9612
Mississippi,MS,Claiborne,Claiborne-MS,12.95,9604
Michigan,MI,Alger,Alger-MI,1.183333333,9601
Minnesota,MN,Pipestone,Pipestone-MN,3.258333333,9596
Nebraska,NE,Wayne,Wayne-NE,2.558333333,9595
Iowa,IA,Howard,Howard-IA,3.5,9566
Kansas,KS,Cloud,Cloud-KS,3.85,9533
Kentucky,KY,McLean,McLean-KY,5,9531
Kentucky,KY,Livingston,Livingston-KY,7.391666667,9519
Arkansas,AR,Montgomery,Montgomery-AR,7.008333333,9487
Utah,UT,Morgan,Morgan-UT,3.1,9469
Oklahoma,OK,Kiowa,Kiowa-OK,4.5,9446
Minnesota,MN,Marshall,Marshall-MN,6.841666667,9439
Missouri,MO,Caldwell,Caldwell-MO,4.491666667,9424
Oklahoma,OK,Love,Love-OK,3.433333333,9423
Iowa,IA,Palo Alto,Palo Alto-IA,3.041666667,9421
Kansas,KS,Wilson,Wilson-KS,6.658333333,9409
Texas,TX,Mitchell,Mitchell-TX,5.725,9403
West Virginia,WV,Clay,Clay-WV,11.14166667,9386
Mississippi,MS,Humphreys,Humphreys-MS,12.94166667,9375
Iowa,IA,Greene,Greene-IA,3.441666667,9336
Kentucky,KY,Crittenden,Crittenden-KY,5.533333333,9315
Wisconsin,WI,Forest,Forest-WI,7.541666667,9304
Montana,MT,Deer Lodge,Deer Lodge-MT,3.916666667,9298
Missouri,MO,Carroll,Carroll-MO,5.933333333,9295
Iowa,IA,Clarke,Clarke-IA,4.025,9286
Idaho,ID,Benewah,Benewah-ID,6.575,9285
Virginia,VA,Richmond,Richmond-VA,4.55,9254
Montana,MT,Beaverhead,Beaverhead-MT,3.408333333,9246
Iowa,IA,Monona,Monona-IA,4.3,9243
Montana,MT,Rosebud,Rosebud-MT,5.316666667,9233
Texas,TX,Brewster,Brewster-TX,4.033333333,9232
Utah,UT,Grand,Grand-UT,6.166666667,9225
West Virginia,WV,Tyler,Tyler-WV,9.375,9208
Nebraska,NE,Phelps,Phelps-NE,2.375,9188
Nebraska,NE,Dawes,Dawes-NE,2.566666667,9182
Missouri,MO,Maries,Maries-MO,5.258333333,9176
West Virginia,WV,Webster,Webster-WV,7.675,9154
Nebraska,NE,Cuming,Cuming-NE,2.633333333,9139
South Dakota,SD,Charles Mix,Charles Mix-SD,3.458333333,9129
Nebraska,NE,Hamilton,Hamilton-NE,2.841666667,9124
Montana,MT,Stillwater,Stillwater-MT,3.691666667,9117
Colorado,CO,Clear Creek,Clear Creek-CO,3.666666667,9088
Texas,TX,Archer,Archer-TX,4.441666667,9054
Alabama,AL,Greene,Greene-AL,11.01666667,9045
Texas,TX,Jack,Jack-TX,4.266666667,9044
New Mexico,NM,Quay,Quay-NM,7.208333333,9041
Arkansas,AR,Nevada,Nevada-AR,5.208333333,8997
Virginia,VA,Mathews,Mathews-VA,4.175,8978
Montana,MT,Dawson,Dawson-MT,3.091666667,8966
North Dakota,ND,McLean,McLean-ND,3.666666667,8962
Missouri,MO,Harrison,Harrison-MO,5.066666667,8957
Iowa,IA,Lucas,Lucas-IA,3.45,8898
Texas,TX,Coleman,Coleman-TX,5.633333333,8895
Oklahoma,OK,Woods,Woods-OK,2.641666667,8878
Texas,TX,San Augustine,San Augustine-TX,9.225,8865
North Carolina,NC,Graham,Graham-NC,12.15833333,8861
Michigan,MI,Baraga,Baraga-MI,1.458333333,8860
Indiana,IN,Benton,Benton-IN,4.458333333,8854
Nebraska,NE,Cedar,Cedar-NE,2.4,8852
Missouri,MO,Monroe,Monroe-MO,5.266666667,8840
Kentucky,KY,Trimble,Trimble-KY,5.766666667,8809
Idaho,ID,Clearwater,Clearwater-ID,8.058333333,8761
Iowa,IA,Davis,Davis-IA,4.383333333,8753
Mississippi,MS,Benton,Benton-MS,8,8729
Minnesota,MN,Murray,Murray-MN,4.391666667,8725
West Virginia,WV,Pocahontas,Pocahontas-WV,8.275,8719
Arkansas,AR,Prairie,Prairie-AR,4.825,8715
Nebraska,NE,Knox,Knox-NE,3.175,8701
Minnesota,MN,Clearwater,Clearwater-MN,9.183333333,8695
West Virginia,WV,Gilmer,Gilmer-WV,7.833333333,8693
Arkansas,AR,Cleveland,Cleveland-AR,5.758333333,8689
Wyoming,WY,Platte,Platte-WY,3.816666667,8667
Michigan,MI,Oscoda,Oscoda-MI,1.275,8640
Kansas,KS,Coffey,Coffey-KS,5.758333333,8601
Kentucky,KY,Gallatin,Gallatin-KY,5.341666667,8589
Virginia,VA,Franklin City,Franklin City-VA,6.75,8582
Wyoming,WY,Johnson,Johnson-WY,4.816666667,8569
Kentucky,KY,Hancock,Hancock-KY,5.058333333,8565
Mississippi,MS,Choctaw,Choctaw-MS,6.183333333,8547
Kansas,KS,Clay,Clay-KS,4.35,8535
Wyoming,WY,Washakie,Washakie-WY,4.033333333,8533
Texas,TX,Hamilton,Hamilton-TX,4.683333333,8517
Indiana,IN,Warren,Warren-IN,4.916666667,8508
Texas,TX,Somervell,Somervell-TX,4.991666667,8490
Kentucky,KY,Bracken,Bracken-KY,6.425,8488
Michigan,MI,Schoolcraft,Schoolcraft-MI,1.758333333,8485
Illinois,IL,Hamilton,Hamilton-IL,5.316666667,8457
Iowa,IA,Decatur,Decatur-IA,3.2,8457
Missouri,MO,Shannon,Shannon-MO,8.075,8441
Arizona,AZ,Greenlee,Greenlee-AZ,7.933333333,8437
Missouri,MO,Daviess,Daviess-MO,4.583333333,8433
Tennessee,TN,Houston,Houston-TN,8.875,8426
North Dakota,ND,Mercer,Mercer-ND,4.175,8424
Nebraska,NE,Butler,Butler-NE,2.791666667,8395
Nebraska,NE,Keith,Keith-NE,2.641666667,8368
Nebraska,NE,Richardson,Richardson-NE,3.216666667,8363
South Dakota,SD,Turner,Turner-SD,2.708333333,8347
Arkansas,AR,Newton,Newton-AR,5.025,8330
Kentucky,KY,Lyon,Lyon-KY,5.775,8314
Texas,TX,McCulloch,McCulloch-TX,4.816666667,8283
Colorado,CO,Kit Carson,Kit Carson-CO,2.433333333,8270
Colorado,CO,Conejos,Conejos-CO,5.608333333,8256
Kentucky,KY,Ballard,Ballard-KY,7.116666667,8249
Illinois,IL,Alexander,Alexander-IL,8.591666667,8238
Mississippi,MS,Quitman,Quitman-MS,10.80833333,8223
South Dakota,SD,Custer,Custer-SD,4.325,8216
West Virginia,WV,Doddridge,Doddridge-WV,5.741666667,8202
Arkansas,AR,Searcy,Searcy-AR,5.816666667,8195
Arkansas,AR,Monroe,Monroe-AR,6.275,8149
North Dakota,ND,Traill,Traill-ND,2.8,8121
Mississippi,MS,Franklin,Franklin-MS,7.791666667,8118
Arkansas,AR,Dallas,Dallas-AR,7.45,8116
Kansas,KS,Anderson,Anderson-KS,4.95,8102
Texas,TX,Castro,Castro-TX,3.45,8062
Oklahoma,OK,Tillman,Tillman-OK,4.191666667,7992
Iowa,IA,Monroe,Monroe-IA,4.333333333,7970
Kansas,KS,Doniphan,Doniphan-KS,4.391666667,7945
Idaho,ID,Lemhi,Lemhi-ID,7.016666667,7936
Tennessee,TN,Perry,Perry-TN,6.991666667,7915
Kansas,KS,Thomas,Thomas-KS,2.683333333,7900
Oregon,OR,Lake,Lake-OR,7.866666667,7895
Kentucky,KY,Lee,Lee-KY,8.516666667,7887
Missouri,MO,Dade,Dade-MO,5.108333333,7883
Texas,TX,Yoakum,Yoakum-TX,3.758333333,7879
Tennessee,TN,Trousdale,Trousdale-TN,5.95,7870
Tennessee,TN,Clay,Clay-TN,9.016666667,7861
Kansas,KS,Kingman,Kingman-KS,4.358333333,7858
Texas,TX,Swisher,Swisher-TX,4.808333333,7854
Kentucky,KY,Elliott,Elliott-KY,10.03333333,7852
Nebraska,NE,Merrick,Merrick-NE,3.691666667,7845
Tennessee,TN,Lake,Lake-TN,8.8,7832
Missouri,MO,Chariton,Chariton-MO,4.675,7831
Kansas,KS,Grant,Grant-KS,3.65,7829
Texas,TX,Presidio,Presidio-TX,10.84166667,7818
Idaho,ID,Power,Power-ID,4.65,7817
Mississippi,MS,Jefferson,Jefferson-MS,14.9,7726
Pennsylvania,PA,Forest,Forest-PA,7.666666667,7716
West Virginia,WV,Pendleton,Pendleton-WV,4.725,7695
Montana,MT,Madison,Madison-MT,3.641666667,7691
Iowa,IA,Adair,Adair-IA,3.166666667,7682
North Dakota,ND,Mountrail,Mountrail-ND,1.9,7673
Arkansas,AR,Lafayette,Lafayette-AR,7.925,7645
West Virginia,WV,Calhoun,Calhoun-WV,12.5,7627
West Virginia,WV,Pleasants,Pleasants-WV,8.491666667,7605
Iowa,IA,Worth,Worth-IA,3.916666667,7598
Iowa,IA,Van Buren,Van Buren-IA,3.966666667,7570
Washington,WA,Ferry,Ferry-WA,10.2,7551
Nebraska,NE,Jefferson,Jefferson-NE,2.708333333,7547
Illinois,IL,Schuyler,Schuyler-IL,5.883333333,7544
Oklahoma,OK,Major,Major-OK,3.125,7527
Indiana,IN,Union,Union-IN,4.433333333,7516
Wisconsin,WI,Pepin,Pepin-WI,4.25,7469
Oregon,OR,Grant,Grant-OR,8.933333333,7445
Iowa,IA,Fremont,Fremont-IA,3.266666667,7441
Oregon,OR,Harney,Harney-OR,7.325,7422
North Dakota,ND,Pembina,Pembina-ND,5.258333333,7413
Texas,TX,Refugio,Refugio-TX,5.333333333,7383
Virginia,VA,Rappahannock,Rappahannock-VA,4.091666667,7373
Montana,MT,Valley,Valley-MT,3.091666667,7369
Colorado,CO,San Miguel,San Miguel-CO,3.816666667,7359
South Dakota,SD,Grant,Grant-SD,2.95,7356
Kentucky,KY,Wolfe,Wolfe-KY,10.13333333,7355
South Dakota,SD,Hutchinson,Hutchinson-SD,2.533333333,7343
Illinois,IL,Henderson,Henderson-IL,5.916666667,7331
Iowa,IA,Pocahontas,Pocahontas-IA,3,7310
Colorado,CO,Lake,Lake-CO,3.825,7310
Nebraska,NE,Pierce,Pierce-NE,2.533333333,7266
Arkansas,AR,Woodruff,Woodruff-AR,6.691666667,7260
Minnesota,MN,Lac qui Parle,Lac qui Parle-MN,4.116666667,7259
Virginia,VA,Charles City,Charles City-VA,5.241666667,7256
Nebraska,NE,Nemaha,Nemaha-NE,3.675,7248
Texas,TX,Brooks,Brooks-TX,9.991666667,7223
Texas,TX,Goliad,Goliad-TX,4.366666667,7210
Wyoming,WY,Weston,Weston-WY,3.325,7208
Texas,TX,Bailey,Bailey-TX,4.291666667,7165
West Virginia,WV,Tucker,Tucker-WV,6.125,7141
Missouri,MO,Clark,Clark-MO,7.083333333,7139
Kentucky,KY,Nicholas,Nicholas-KY,6.041666667,7135
Utah,UT,Kane,Kane-UT,4.475,7125
Texas,TX,Winkler,Winkler-TX,5.725,7110
South Dakota,SD,Fall River,Fall River-SD,4.483333333,7094
Iowa,IA,Ida,Ida-IA,3.083333333,7089
Wyoming,WY,Crook,Crook-WY,3.433333333,7083
South Dakota,SD,Bon Homme,Bon Homme-SD,2.675,7070
Virginia,VA,Surry,Surry-VA,5.183333333,7058
Kansas,KS,Wabaunsee,Wabaunsee-KS,3.85,7053
Texas,TX,Childress,Childress-TX,3.166666667,7041
Idaho,ID,Boise,Boise-ID,6.216666667,7028
Montana,MT,Powell,Powell-MT,4.533333333,7027
Oregon,OR,Wallowa,Wallowa-OR,7.983333333,7008
Kansas,KS,Pawnee,Pawnee-KS,3.725,6973
Kansas,KS,Russell,Russell-KS,3.791666667,6970
Vermont,VT,Grand Isle,Grand Isle-VT,4.175,6970
Idaho,ID,Caribou,Caribou-ID,4.183333333,6963
Virginia,VA,King and Queen,King and Queen-VA,4.825,6945
Nebraska,NE,Thurston,Thurston-NE,5.291666667,6940
Illinois,IL,Brown,Brown-IL,3.708333333,6937
Texas,TX,La Salle,La Salle-TX,4.141666667,6886
Nebraska,NE,Burt,Burt-NE,3.625,6858
Kentucky,KY,Cumberland,Cumberland-KY,6.033333333,6856
Minnesota,MN,Norman,Norman-MN,4.708333333,6852
Virginia,VA,Bland,Bland-VA,5.783333333,6824
Tennessee,TN,Hancock,Hancock-TN,10.025,6819
Kentucky,KY,Fulton,Fulton-KY,7.7,6813
Michigan,MI,Ontonagon,Ontonagon-MI,1.5,6780
Nevada,NV,Pershing,Pershing-NV,6.833333333,6753
Missouri,MO,Gentry,Gentry-MO,4.208333333,6738
Illinois,IL,Edwards,Edwards-IL,6,6721
Missouri,MO,Sullivan,Sullivan-MO,5.916666667,6714
Colorado,CO,Huerfano,Huerfano-CO,7.716666667,6711
Texas,TX,Dallam,Dallam-TX,2.25,6703
Missouri,MO,Reynolds,Reynolds-MO,6.958333333,6696
Kansas,KS,Greenwood,Greenwood-KS,4.716666667,6689
Nebraska,NE,Antelope,Antelope-NE,2.533333333,6685
Colorado,CO,Rio Blanco,Rio Blanco-CO,5.283333333,6666
North Dakota,ND,Benson,Benson-ND,4.533333333,6660
Michigan,MI,Luce,Luce-MI,0.975,6631
Utah,UT,Beaver,Beaver-UT,3.733333333,6629
Minnesota,MN,Wilkin,Wilkin-MN,3.35,6576
Nebraska,NE,Clay,Clay-NE,2.908333333,6542
Colorado,CO,Bent,Bent-CO,3.925,6499
Kansas,KS,Ellsworth,Ellsworth-KS,3.733333333,6497
Montana,MT,Blaine,Blaine-MT,4.958333333,6491
Nebraska,NE,Kearney,Kearney-NE,2.208333333,6489
South Dakota,SD,Moody,Moody-SD,3.466666667,6486
Oklahoma,OK,Jefferson,Jefferson-OK,5.566666667,6472
Iowa,IA,Osceola,Osceola-IA,2.825,6462
Texas,TX,Garza,Garza-TX,3.725,6461
Texas,TX,Floyd,Floyd-TX,5.583333333,6446
North Dakota,ND,Bottineau,Bottineau-ND,4.283333333,6429
Pennsylvania,PA,Sullivan,Sullivan-PA,5.966666667,6428
South Dakota,SD,Spink,Spink-SD,3.141666667,6415
Iowa,IA,Wayne,Wayne-IA,3.841666667,6403
Kansas,KS,Mitchell,Mitchell-KS,3.358333333,6373
Missouri,MO,Shelby,Shelby-MO,4.75,6373
Tennessee,TN,Moore,Moore-TN,4.641666667,6362
North Dakota,ND,McKenzie,McKenzie-ND,2.325,6360
Iowa,IA,Taylor,Taylor-IA,3.066666667,6317
Vermont,VT,Essex,Essex-VT,6.816666667,6306
Kentucky,KY,Menifee,Menifee-KY,8.741666667,6306
Nebraska,NE,Howard,Howard-NE,3.633333333,6274
Missouri,MO,Carter,Carter-MO,7.475,6265
Oklahoma,OK,Greer,Greer-OK,5.441666667,6239
Oklahoma,OK,Cotton,Cotton-OK,3.991666667,6193
Texas,TX,Carson,Carson-TX,3.208333333,6182
Illinois,IL,Pulaski,Pulaski-IL,8.983333333,6161
Montana,MT,Pondera,Pondera-MT,4.475,6153
Texas,TX,San Saba,San Saba-TX,3.616666667,6131
Nebraska,NE,Stanton,Stanton-NE,2.55,6129
Indiana,IN,Ohio,Ohio-IN,5.416666667,6128
Iowa,IA,Audubon,Audubon-IA,3.891666667,6119
Colorado,CO,Saguache,Saguache-CO,6.1,6108
Kansas,KS,Ottawa,Ottawa-KS,3.85,6091
Montana,MT,Teton,Teton-MT,3.791666667,6073
Texas,TX,Hartley,Hartley-TX,2.125,6062
Texas,TX,Crosby,Crosby-TX,4.366666667,6059
Kansas,KS,Harper,Harper-KS,3.941666667,6034
Minnesota,MN,Grant,Grant-MN,4.833333333,6018
Kansas,KS,Sherman,Sherman-KS,3,6010
Illinois,IL,Putnam,Putnam-IL,6.375,6006
Kansas,KS,Gray,Gray-KS,2.341666667,6006
Nebraska,NE,Dixon,Dixon-NE,3.316666667,6000
Illinois,IL,Stark,Stark-IL,6.6,5994
Idaho,ID,Bear Lake,Bear Lake-ID,4.408333333,5986
Oklahoma,OK,Coal,Coal-OK,7.391666667,5925
Kansas,KS,Morris,Morris-KS,4.341666667,5923
Wisconsin,WI,Iron,Iron-WI,8.841666667,5916
Texas,TX,Lynn,Lynn-TX,4.016666667,5915
South Dakota,SD,Hamlin,Hamlin-SD,3.391666667,5903
Texas,TX,Haskell,Haskell-TX,3.508333333,5899
Minnesota,MN,Lincoln,Lincoln-MN,3.566666667,5896
Nebraska,NE,Fillmore,Fillmore-NE,2.908333333,5890
Colorado,CO,Crowley,Crowley-CO,4.466666667,5823
Montana,MT,Chouteau,Chouteau-MT,2.925,5813
North Carolina,NC,Hyde,Hyde-NC,9.233333333,5810
Kansas,KS,Washington,Washington-KS,3.175,5799
Nevada,NV,Lander,Lander-NV,6.525,5775
Kansas,KS,Stevens,Stevens-KS,3.75,5724
West Virginia,WV,Wirt,Wirt-WV,10.25,5717
Nebraska,NE,Cherry,Cherry-NE,2.3,5713
South Dakota,SD,Day,Day-SD,4.95,5710
Missouri,MO,Atchison,Atchison-MO,4.508333333,5685
Kansas,KS,Norton,Norton-KS,2.533333333,5671
South Dakota,SD,Tripp,Tripp-SD,2.758333333,5644
Oklahoma,OK,Alfalfa,Alfalfa-OK,2.883333333,5642
Kansas,KS,Phillips,Phillips-KS,3.291666667,5642
